step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,rescale,log,freeze_last,layers,rob,thermometer_bits,algo_layer,binarize_dataset,k,dataset,input_dim,grouping_factor,same_random_classifier,prob_reinforcement,prob_update,algo_perc,project,seed,save_results,val_dim,thetam,epochs,device,bs,n_runs,rm_pixel,epoch_interval_switch,freeze_first,train_dim
50.0,88.42289719626167,2.111353335996702,83.34894613583138,2.876751539927034,False,False,True,15_3,0.25,0,baldassi,False,1,uci_aids,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.15654205607476,0.2906508248744099,88.17330210772833,0.6966967110371687,False,False,True,176_16,140.0,0,baldassi,False,1,uci_aids,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,94.72546728971965,0.5651417111886315,86.0655737704918,0.7424293903581933,False,False,True,66_6,140.0,0,baldassi,False,1,uci_aids,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,64.80801335559264,2.0862102640151328,61.006711409395976,5.185188164219784,False,False,True,15_3,0.25,0,baldassi,False,1,uci_blood,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,79.24874791318864,0.8579409120220088,75.30201342281879,1.8935216080088408,False,False,True,242_22,140.0,0,baldassi,False,1,uci_blood,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,76.06010016694492,1.4051168889816907,71.00671140939596,2.4714030388620105,False,False,True,77_7,140.0,0,baldassi,False,1,uci_blood,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.71428571428572,0.9936019816602558,95.4676258992806,1.248154789417088,False,False,True,15_3,0.25,0,baldassi,False,1,uci_cancer,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.91071428571428,0.1197893559374901,97.26618705035972,1.1052008270314528,False,False,True,187_17,140.0,0,baldassi,False,1,uci_cancer,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.91071428571428,0.1197893559374901,96.40287769784172,1.402416452490501,False,False,True,66_6,140.0,0,baldassi,False,1,uci_cancer,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,87.96095444685467,1.83955954204028,85.79710144927536,1.878475564755901,False,False,True,132_12,140.0,0,baldassi,False,1,uci_car,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,76.0520607375271,18.03914548596437,75.2463768115942,18.055062924467176,False,False,True,20_4,0.25,0,baldassi,False,1,uci_car,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,91.62689804772234,1.1040909325597323,89.68115942028984,1.70596393849996,False,False,True,374_34,140.0,0,baldassi,False,1,uci_car,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,89.72624168947986,1.0464748994384063,87.49608763693271,2.834625166696385,False,False,True,15_3,0.25,0,baldassi,False,1,uci_chess,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.26906531091124,0.160487168781257,95.47730829420972,0.6692771449246658,False,False,True,286_26,140.0,0,baldassi,False,1,uci_chess,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.03324208056316,0.4382925530268848,94.55399061032864,0.8791594306847041,False,False,True,88_8,140.0,0,baldassi,False,1,uci_chess,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,67.93125,0.3234806902188215,67.06166666666665,2.917695532817334,False,False,True,15_3,0.25,0,baldassi,False,1,uci_credit,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,80.75625,0.2286983851908214,79.825,0.7040458476232602,False,False,True,154_14,140.0,0,baldassi,False,1,uci_credit,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,76.45166666666668,1.3068239701233269,75.685,1.2130872003098354,False,False,True,55_5,140.0,0,baldassi,False,1,uci_credit,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,55.21150784625881,7.577309130564052,53.648771610555045,7.596312230937205,False,False,True,15_3,0.25,0,baldassi,False,1,uci_digits,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.89197179895385,0.0863402286683101,98.5395814376706,0.545362892364069,False,False,True,165_15,140.0,0,baldassi,False,1,uci_digits,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,88.06800090971117,7.807213913414137,83.44404003639673,7.399023302491453,False,False,True,55_5,140.0,0,baldassi,False,1,uci_digits,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,77.4702380952381,1.6385273343453313,71.97604790419163,4.51133130582931,False,False,True,15_3,0.25,0,baldassi,False,1,uci_glioma,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,88.24404761904762,0.9100526697274176,85.44910179640718,1.856287425149698,False,False,True,275_25,140.0,0,baldassi,False,1,uci_glioma,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,86.16071428571429,1.064794274999903,83.59281437125749,2.2911528706238293,False,False,True,88_8,140.0,0,baldassi,False,1,uci_glioma,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.94915254237289,1.621813384936366,77.80821917808218,4.279588863510496,False,False,True,15_3,0.25,0,baldassi,False,1,uci_horse,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.86440677966102,0.1660671012056335,81.5068493150685,3.688469045982538,False,False,True,154_14,140.0,0,baldassi,False,1,uci_horse,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.76271186440678,0.4805914196189074,80.27397260273972,4.713602886050757,False,False,True,55_5,140.0,0,baldassi,False,1,uci_horse,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.85795097423004,0.1193972405057063,95.4260966750489,0.4185616212296578,False,False,True,15_3,0.25,0,baldassi,False,1,uci_htru,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.09972763461136,0.020587195995506,97.8401788208997,0.1179153274434699,False,False,True,198_18,140.0,0,baldassi,False,1,uci_htru,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.82037851805292,0.0695889151673156,97.5803297010338,0.2474611883261763,False,False,True,66_6,140.0,0,baldassi,False,1,uci_htru,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,86.14285714285715,3.322772385603716,False,False,True,15_3,0.25,0,baldassi,False,1,uci_ionosphere,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,91.0,4.240234879901664,False,False,True,154_14,140.0,0,baldassi,False,1,uci_ionosphere,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,91.14285714285714,3.487587318781056,False,False,True,55_5,140.0,0,baldassi,False,1,uci_ionosphere,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,69.14918414918415,16.091024820798417,64.29681429681429,15.04463929652741,False,False,True,15_3,0.25,0,baldassi,False,1,uci_landsat,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.78360528360528,0.3397379809867084,89.34731934731936,0.8909797134553085,False,False,True,154_14,140.0,0,baldassi,False,1,uci_landsat,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,87.15034965034964,8.451617010859227,77.28826728826729,7.491033019283473,False,False,True,55_5,140.0,0,baldassi,False,1,uci_landsat,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,71.2743823146944,0.7133205800729515,73.48958333333334,5.553412129918168,False,False,True,15_3,0.25,0,baldassi,False,1,uci_mammographic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,84.39531859557869,0.6043667120219637,81.92708333333333,3.099286572252468,False,False,True,220_20,140.0,0,baldassi,False,1,uci_mammographic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,81.33940182054616,0.5705438483349893,79.63541666666667,1.8406871924033663,False,False,True,66_6,140.0,0,baldassi,False,1,uci_mammographic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.42129629629628,1.7361111111111116,96.2962962962963,3.4146460952936626,False,False,True,143_13,140.0,0,baldassi,False,1,uci_mice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,71.2962962962963,13.554125323000555,63.42592592592592,11.231981455086515,False,False,True,15_3,0.25,0,baldassi,False,1,uci_mice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,90.5902777777778,5.120935961830754,78.70370370370371,4.396929655771766,False,False,True,55_5,140.0,0,baldassi,False,1,uci_mice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.86461538461538,0.1024666203405932,99.82758620689656,0.1981955288107291,False,False,True,15_3,0.25,0,baldassi,False,1,uci_mushroom,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,100.0,0.0,False,False,True,242_22,140.0,0,baldassi,False,1,uci_mushroom,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.99692307692308,0.0061538461538475,99.993842364532,0.0184729064039402,False,False,True,77_7,140.0,0,baldassi,False,1,uci_mushroom,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,98.99166034874904,0.3408304290066581,False,False,True,143_13,140.0,0,baldassi,False,1,uci_musk,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.82383027088464,0.1407528546183749,98.08946171341924,0.3536589473749977,False,False,True,15_3,0.25,0,baldassi,False,1,uci_musk,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,98.9158453373768,0.3836719007999987,False,False,True,55_5,140.0,0,baldassi,False,1,uci_musk,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,93.44924571720787,0.1489789696977024,93.1418342993522,0.7864392513842579,False,False,True,143_13,140.0,0,baldassi,False,1,uci_naticusdroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,93.04099548282622,0.2026155604903328,92.61847937265595,1.3851045136192115,False,False,True,15_3,0.25,0,baldassi,False,1,uci_naticusdroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,93.17437995397596,0.1144754093422937,92.60995567678144,0.7745315051512798,False,False,True,55_5,140.0,0,baldassi,False,1,uci_naticusdroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,88.35551697530863,2.3782619850036424,87.64274691358024,4.24063607578802,False,False,True,121_11,140.0,0,baldassi,False,1,uci_nursery,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,77.48746141975309,9.355917143640834,78.83487654320989,8.415610347636315,False,False,True,20_4,0.25,0,baldassi,False,1,uci_nursery,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,91.6309799382716,0.2524372655872623,91.75925925925928,0.5225309553499083,False,False,True,363_33,140.0,0,baldassi,False,1,uci_nursery,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,90.61849841700588,1.0110729672116603,90.48846675712346,1.623195667532133,False,False,True,15_3,0.25,0,baldassi,False,1,uci_phishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.15264586160109,0.2802724460966677,94.24242424242424,0.6007210596561845,False,False,True,154_14,140.0,0,baldassi,False,1,uci_phishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,94.22320217096338,0.3581496308618297,93.0393487109905,0.6394502940541757,False,False,True,55_5,140.0,0,baldassi,False,1,uci_phishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,85.04166666666666,2.198703672509366,77.5,2.7357938338322527,False,False,True,15_3,0.25,0,baldassi,False,1,uci_raisin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,92.5972222222222,0.8027970009232469,84.16666666666666,2.006932429798718,False,False,True,198_18,140.0,0,baldassi,False,1,uci_raisin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,90.54166666666666,1.05308556040374,80.38888888888889,2.0191979828206947,False,False,True,66_6,140.0,0,baldassi,False,1,uci_raisin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,88.46128608923884,0.4219547869177416,87.17847769028872,1.5157906392075364,False,False,True,15_3,0.25,0,baldassi,False,1,uci_rice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,93.73359580052497,0.3524422310235096,91.91601049868768,0.6824146981627278,False,False,True,198_18,140.0,0,baldassi,False,1,uci_rice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,92.55577427821522,0.2711212721932978,90.68241469816272,0.8443941176979234,False,False,True,66_6,140.0,0,baldassi,False,1,uci_rice,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,62.38095238095239,9.452111067275814,51.42857142857143,7.468755781599107,False,False,True,15_3,0.25,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,83.0952380952381,7.334724667023508,False,False,True,165_15,140.0,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.35714285714286,6.0280899529391245,67.14285714285715,6.63256584627815,False,False,True,55_5,140.0,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,89.24461206896552,6.669501743170564,89.24224137931034,6.6710018665629285,False,False,True,15_3,0.25,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.74116379310348,0.0142127043912029,99.70086206896552,0.0387547703327382,False,False,True,198_18,140.0,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.39267241379312,0.0908491451909485,99.25775862068966,0.1189186564378763,False,False,True,66_6,140.0,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.51767442334965,0.2898237480278768,97.3899736793781,1.08614801099372,False,False,True,15_3,0.25,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.04435693663731,0.0322066882152216,99.18610107934953,0.1835198783836524,False,False,True,264_24,140.0,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.76819725982678,0.0866703591245621,98.87596661973842,0.282548665285619,False,False,True,77_7,140.0,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,74.18835436382756,0.8846803608996788,72.80231335436382,2.132878622754653,False,False,True,15_3,0.25,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,86.69689800210305,0.2097455757657089,84.91587802313353,0.5551462942497495,False,False,True,187_17,140.0,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,83.78417455310199,0.2611205500080558,82.06098843322818,0.5563152078406426,False,False,True,66_6,140.0,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.84039087947885,1.602725029334534,88.28947368421053,3.082993293121048,False,False,True,15_3,0.25,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.64169381107492,0.2280130293159628,95.13157894736842,2.5683185915714675,False,False,True,275_25,140.0,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.3485342019544,0.3854123637198493,93.55263157894736,2.23684210526316,False,False,True,88_8,140.0,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.67144719687091,0.8644372596740946,93.29842931937172,1.7954375077991886,False,False,True,121_11,140.0,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,84.65449804432856,1.4670288022253883,82.67015706806282,4.32658449028881,False,False,True,20_4,0.25,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.88787483702735,0.3858839266479417,96.80628272251307,0.8587025898877849,False,False,True,363_33,140.0,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,82.62096774193549,19.18223609441,66.93548387096774,12.602338616527454,False,False,True,15_3,0.25,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.43548387096774,0.9230260598596428,80.64516129032258,6.077885058521542,False,False,True,209_19,140.0,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.14516129032258,1.4335797447283174,77.09677419354838,5.290715957050559,False,False,True,66_6,140.0,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,71.4125,21.782324399613557,64.97,18.71427529988805,False,False,True,15_3,0.25,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.8625,0.3303880294441654,83.22,1.0117311895953376,False,False,True,154_14,140.0,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,86.72999999999999,11.26112671982693,74.56000000000002,9.04347278427928,False,False,True,55_5,140.0,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,83.40720221606648,2.248550013693153,82.5925925925926,2.178583877015221,False,False,True,15_3,0.25,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,92.59464450600184,0.6080176411137339,89.03703703703704,1.5730933764144654,False,False,True,187_17,140.0,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,89.81532779316713,2.0770698092722117,85.48148148148148,2.323612909830832,False,False,True,66_6,140.0,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
